variant,attack_type,recall
full_pipeline,Backdoor,0.963963963963964
full_pipeline,DDoS_HTTP,0.6457399103139013
full_pipeline,DDoS_ICMP,1.0
full_pipeline,DDoS_TCP,1.0
full_pipeline,DDoS_UDP,1.0
full_pipeline,Fingerprinting,1.0
full_pipeline,MITM,1.0
full_pipeline,Password,0.7510548523206751
full_pipeline,Port_Scanning,0.9803921568627451
full_pipeline,Ransomware,0.925
full_pipeline,SQL_injection,0.746938775510204
full_pipeline,Uploading,0.6566265060240963
full_pipeline,Vulnerability_scanner,0.9610894941634242
full_pipeline,XSS,0.7846153846153846
plain_fedavg,Backdoor,0.954954954954955
plain_fedavg,DDoS_HTTP,0.6412556053811659
plain_fedavg,DDoS_ICMP,0.9968847352024922
plain_fedavg,DDoS_TCP,1.0
plain_fedavg,DDoS_UDP,1.0
plain_fedavg,Fingerprinting,1.0
plain_fedavg,MITM,1.0
plain_fedavg,Password,0.7552742616033755
plain_fedavg,Port_Scanning,0.9215686274509803
plain_fedavg,Ransomware,0.9
plain_fedavg,SQL_injection,0.7510204081632653
plain_fedavg,Uploading,0.6445783132530121
plain_fedavg,Vulnerability_scanner,0.9571984435797666
plain_fedavg,XSS,0.7846153846153846
trimmed_mean_only,Backdoor,0.954954954954955
trimmed_mean_only,DDoS_HTTP,0.6412556053811659
trimmed_mean_only,DDoS_ICMP,0.9968847352024922
trimmed_mean_only,DDoS_TCP,1.0
trimmed_mean_only,DDoS_UDP,1.0
trimmed_mean_only,Fingerprinting,1.0
trimmed_mean_only,MITM,1.0
trimmed_mean_only,Password,0.7468354430379747
trimmed_mean_only,Port_Scanning,0.9313725490196079
trimmed_mean_only,Ransomware,0.9
trimmed_mean_only,SQL_injection,0.7428571428571429
trimmed_mean_only,Uploading,0.6385542168674698
trimmed_mean_only,Vulnerability_scanner,0.9610894941634242
trimmed_mean_only,XSS,0.7846153846153846
autoencoder_only,Backdoor,0.02702702702702703
autoencoder_only,DDoS_HTTP,0.013452914798206279
autoencoder_only,DDoS_ICMP,0.3302180685358255
autoencoder_only,DDoS_TCP,0.15447154471544716
autoencoder_only,DDoS_UDP,0.12056737588652482
autoencoder_only,Fingerprinting,0.3333333333333333
autoencoder_only,MITM,1.0
autoencoder_only,Password,0.14345991561181434
autoencoder_only,Port_Scanning,0.029411764705882353
autoencoder_only,Ransomware,0.0
autoencoder_only,SQL_injection,0.053061224489795916
autoencoder_only,Uploading,0.08433734939759036
autoencoder_only,Vulnerability_scanner,0.1867704280155642
autoencoder_only,XSS,0.2
boosting_only,Backdoor,0.9459459459459459
boosting_only,DDoS_HTTP,0.6322869955156951
boosting_only,DDoS_ICMP,1.0
boosting_only,DDoS_TCP,1.0
boosting_only,DDoS_UDP,1.0
boosting_only,Fingerprinting,1.0
boosting_only,MITM,1.0
boosting_only,Password,0.7510548523206751
boosting_only,Port_Scanning,0.9019607843137255
boosting_only,Ransomware,0.9
boosting_only,SQL_injection,0.7428571428571429
boosting_only,Uploading,0.6385542168674698
boosting_only,Vulnerability_scanner,0.953307392996109
boosting_only,XSS,0.7846153846153846
