variant,holdout_class,detection_rate
full_pipeline,Backdoor,0.806
plain_fedavg,Backdoor,0.796
trimmed_mean_only,Backdoor,0.8038
autoencoder_only,Backdoor,0.0036
boosting_only,Backdoor,0.857
full_pipeline,DDoS_HTTP,0.3976
plain_fedavg,DDoS_HTTP,0.3244
trimmed_mean_only,DDoS_HTTP,0.3278
autoencoder_only,DDoS_HTTP,0.0562
boosting_only,DDoS_HTTP,0.3194
full_pipeline,DDoS_ICMP,1.0
plain_fedavg,DDoS_ICMP,1.0
trimmed_mean_only,DDoS_ICMP,1.0
autoencoder_only,DDoS_ICMP,0.806
boosting_only,DDoS_ICMP,1.0
full_pipeline,DDoS_TCP,0.975
plain_fedavg,DDoS_TCP,0.9238
trimmed_mean_only,DDoS_TCP,0.918
autoencoder_only,DDoS_TCP,0.1652
boosting_only,DDoS_TCP,0.9026
full_pipeline,DDoS_UDP,0.9028
plain_fedavg,DDoS_UDP,0.9998
trimmed_mean_only,DDoS_UDP,0.0922
autoencoder_only,DDoS_UDP,0.8914
boosting_only,DDoS_UDP,0.0922
full_pipeline,Fingerprinting,0.8429073856975381
plain_fedavg,Fingerprinting,0.8300117233294255
trimmed_mean_only,Fingerprinting,0.9601406799531067
autoencoder_only,Fingerprinting,0.5064478311840562
boosting_only,Fingerprinting,0.8007033997655334
full_pipeline,MITM,0.8866995073891626
plain_fedavg,MITM,0.0
trimmed_mean_only,MITM,0.0
autoencoder_only,MITM,0.874384236453202
boosting_only,MITM,0.0
full_pipeline,Password,0.4228
plain_fedavg,Password,0.371
trimmed_mean_only,Password,0.3732
autoencoder_only,Password,0.1252
boosting_only,Password,0.342
full_pipeline,Port_Scanning,0.9814
plain_fedavg,Port_Scanning,0.9212
trimmed_mean_only,Port_Scanning,0.9218
autoencoder_only,Port_Scanning,0.131
boosting_only,Port_Scanning,0.9078
full_pipeline,Ransomware,0.5358
plain_fedavg,Ransomware,0.5334
trimmed_mean_only,Ransomware,0.5332
autoencoder_only,Ransomware,0.0158
boosting_only,Ransomware,0.5298
full_pipeline,SQL_injection,0.6144
plain_fedavg,SQL_injection,0.5698
trimmed_mean_only,SQL_injection,0.5672
autoencoder_only,SQL_injection,0.0966
boosting_only,SQL_injection,0.5256
full_pipeline,Uploading,0.5128
plain_fedavg,Uploading,0.4784
trimmed_mean_only,Uploading,0.478
autoencoder_only,Uploading,0.0954
boosting_only,Uploading,0.4264
full_pipeline,Vulnerability_scanner,0.8346
plain_fedavg,Vulnerability_scanner,0.1036
trimmed_mean_only,Vulnerability_scanner,0.1004
autoencoder_only,Vulnerability_scanner,0.6802
boosting_only,Vulnerability_scanner,0.1026
full_pipeline,XSS,0.518
plain_fedavg,XSS,0.4734
trimmed_mean_only,XSS,0.4756
autoencoder_only,XSS,0.1022
boosting_only,XSS,0.4426
